,Title,Location,City,Company,Salary_Range,Salary_Avg,Summary,BOS,CHI,DC,HOU,NY,SF
0,STATISTICIAN,"New York, NY",NY,        United Nations,61k-80k,70.5,"Organizes, designs, plans and carries out the collection, evaluation, analysis, compilation and dissemination of energy statistics data by selecting methods of...",0.0,0.0,0.0,0.0,1.0,0.0
1,Data Scientist,"New York, NY",NY,    Rodale Inc.,61k-80k,70.5,"Query & analyze data:. Data analysis, visualization & predictive modeling:. Undergraduate degree in Mathematics, Statistics, Economics, Engineering, Data...",0.0,0.0,0.0,0.0,1.0,0.0
2,Disaster Recovery Data Analyst,"New York, NY",NY,        ICF International,61k-80k,70.5,Disaster Recovery Data Analyst. Organize data into easily reportable metrics. Collect application data transferred from existing housing programs....,0.0,0.0,0.0,0.0,1.0,0.0
3,Data Science Internship,"New York, NY 10003 (Greenwich Village area)",NY,    Knewton,61k-80k,70.5,You will join a world-class team of data scientists and engineers who are pushing the boundaries of machine learning....,0.0,0.0,0.0,0.0,1.0,0.0
4,Quantitative Analyst,"New York, NY",NY,    HARITA INFOTECH,61k-80k,70.5,Looking for a Financial Modelling & Forecasting resource with R programming language. Minimum 3 - 5 years experience for a long term Contract role. Job Type:,0.0,0.0,0.0,0.0,1.0,0.0
5,Bike Share Data Scientist,"Manhattan, NY",NY,        DEPARTMENT OF TRANSPORTATION,61k-80k,70.5,"Establish and monitor best practices, policies, procedures and documentation around Citi Bike system data; Analyze data, develop statistical models, and use...",0.0,0.0,0.0,0.0,1.0,0.0
6,Manager of Statistical Data,"Manhattan, NY",NY,    DEPT OF INFO TECH & TELECOMM,61k-80k,70.5,Create data visualizations to communicate complex ideas; The operation of data processing hardware or consoles....,0.0,0.0,0.0,0.0,1.0,0.0
7,Junior Research Scientist,"New York, NY",NY,        New York University,61k-80k,70.5,"Junior Research Scientist Positions*. The five *Junior Research Scientists*. The McDevitt lab is searching for dynamic, highly motivated individuals with...",0.0,0.0,0.0,0.0,1.0,0.0
8,Senior Research Analyst,"New York, NY",NY,        Univision communications inc,61k-80k,70.5,"Univision’s Corporate Research is one of the leading teams within the Univision Communications family; we support the Network Sales, Pricing and Planning,",0.0,0.0,0.0,0.0,1.0,0.0
9,Sr. Data Scientist,"New York, NY",NY,    Oliver James Associates,61k-80k,70.5,Assist in the on-going efforts to develop data dashboards pushing real time data for the Development Office. In collaboration with the entire Data Services Team...,0.0,0.0,0.0,0.0,1.0,0.0
10,Research Data Manager,"New York, NY",NY,        Springer Nature,61k-80k,70.5,"Excellent understanding of research data metadata and data repositories, and journal research data policies....",0.0,0.0,0.0,0.0,1.0,0.0
11,Statistician,"New York, NY 10001 (Chelsea area)",NY,        Amyx Inc,61k-80k,70.5,5 or more years experience with data migrations and data loading into platforms involving both structured and unstructured data and writing/ executing SQL and...,0.0,0.0,0.0,0.0,1.0,0.0
12,Statistical Analyst,"New York, NY",NY,        Hospital for Special Surgery,61k-80k,70.5,Build and improve on Macros to make data processing and presentation more efficient. Provide statistical expertise in analyzing data for clinical or basic...,0.0,0.0,0.0,0.0,1.0,0.0
13,Quantitative Primary Market Research Analyst,"Montclair, NJ",NY,"    Medical Marketing Economics, LLC",61k-80k,70.5,Oversee data collection and address any question from data collection vendors. Analyze data files for accuracy of responses....,0.0,0.0,0.0,0.0,1.0,0.0
14,Data Scientist,"New York, NY",NY,        W2O Group,61k-80k,70.5,We are looking for a Data Scientist to join our team! Data Scientists should have a background in the natural or physical sciences with experience using Python...,0.0,0.0,0.0,0.0,1.0,0.0
15,Statistical Analyst - Bundled Payments,"Manhattan, NY",NY,        Visiting Nurse Service of New York,61k-80k,70.5,Retrieves and compiles data from external data feeds and internally constructed databases. Analyzes data using appropriate software....,0.0,0.0,0.0,0.0,1.0,0.0
16,Data Scientist,"New York, NY",NY,        Crisis Text Line,61k-80k,70.5,Chief Data Scientist. The Data Scientist's role at Crisis Text Line is to support staff in making smarter decisions through data....,0.0,0.0,0.0,0.0,1.0,0.0
17,2017 Summer Intern - Clinical Analysis - Data Visualization,"New York, NY",NY,        Healthfirst,61k-80k,70.5,We’re looking for someone with great energy to help us tell data stories and improve the care of thousands of vulnerable New Yorkers....,0.0,0.0,0.0,0.0,1.0,0.0
18,ESG Research Analyst,"New York, NY 10007 (Financial District area)",NY,    MSCI Inc.,61k-80k,70.5,"In addition to possessing excellent communication and data analysis skills, the ideal candidate is expected to follow company news, industry trends, and...",0.0,0.0,0.0,0.0,1.0,0.0
19,"QA Specialist, Data Scientist","New York, NY 10012 (Little Italy area)",NY,        L2,61k-80k,70.5,"Data dictionary, organizational data model. Measure data quality:. The Data Scientist will be responsible for defining the initial and future state processes...",0.0,0.0,0.0,0.0,1.0,0.0
20,Associate Computational Scientist - Oncological Sciences,"New York, NY 10029 (Yorkville area)",NY,        Mount Sinai Health System,61k-80k,70.5,Their computational and data workflow. Works with scientists and researchers to. Partners with scientist and research staff to....,0.0,0.0,0.0,0.0,1.0,0.0
21,Periop Informatics Specialist,"New York, NY",NY,        NYU Langone Medical Center,61k-80k,70.5,"Gathers the required preference card supporting data from the sites, analyze the data to determine what needs to be loaded into OpTime, prepare the data for...",0.0,0.0,0.0,0.0,1.0,0.0
22,Scientific Associate,"New York, NY",NY,    Sudler& Hennessey,61k-80k,70.5,"Referencing all developed content from peer-reviewed, published material or client provided data. Dreamers and realists, introverts and extroverts, scholars and...",0.0,0.0,0.0,0.0,1.0,0.0
23,"City Research Scientist, Bureau of the Public Health Laborat...","Manhattan, NY",NY,        DEPT OF HEALTH/MENTAL HYGIENE,61k-80k,70.5,"-Assist with Data Analysis. Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above....",0.0,0.0,0.0,0.0,1.0,0.0
24,Postdoctoral Research Scientist,"New York, NY",NY,        Columbia University Medical Center- Department of...,61k-80k,70.5,Candidates with a MD and/or PhD degree and experience working with genomic data. Proficiency with the Linux environment and experience analyzing data using...,0.0,0.0,0.0,0.0,1.0,0.0
25,Research Analyst,"New York, NY",NY,        GroupM,61k-80k,70.5,"DEPARTMENT DESCRIPTION: GroupM Research We are the implementation strategy, research and development division of GroupM. Our services include strategic",0.0,0.0,0.0,0.0,1.0,0.0
26,Technology Research Analyst (New York),"New York, NY 10011 (Chelsea area)",NY,        Accenture,61k-80k,70.5,Organization: Corporate Functions/Research Location: New York Level: 11 - Analyst Join Accenture and help transform leading organizations and communities,0.0,0.0,0.0,0.0,1.0,0.0
27,Partner Success Associate,"New York, NY",NY,        Climb,61k-80k,70.5,We've started out by funding students at coding bootcamps and other non-traditional education programs boasting 90%+ job placement into high-paying positions as...,0.0,0.0,0.0,0.0,1.0,0.0
28,Machine Learning Engineer,"New York, NY 10016 (Gramercy area)",NY,        FactSet Research Systems,61k-80k,70.5,"The primary responsibility for this position will be the development of systems for natural language analysis, classification tasks, information retrieval,...",0.0,0.0,0.0,0.0,1.0,0.0
29,Sr. Data Scientist,"New York, NY",NY,    Wade & Wendy,61k-80k,70.5,"Our data scientist will integrate data from web sources, real-time adaptive questioning, and human-intelligence, to develop algorithms that create smart...",0.0,0.0,0.0,0.0,1.0,0.0
30,Data Analytics Research Scientist,"New York, NY",NY,        POLICE DEPARTMENT,61k-80k,70.5,"Extensive knowledge of applied statistics, analytics, machine learning, data science or big data tools.....",0.0,0.0,0.0,0.0,1.0,0.0
31,Machine Learning Engineer,"New York, NY 10016 (Gramercy area)",NY,        FactSet,61k-80k,70.5,Job Description: Department: Content Integration Engineering FactSet is currently seeking a talented and motivated professional to join the Machine Learning...,0.0,0.0,0.0,0.0,1.0,0.0
